City_Council_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
37.0,2008,13313,8.6509426262956
37.0,2009,13360,0.3530383835348907
37.0,2010,13513,1.1452095808383234
37.0,2011,14073,4.144157477984163
37.0,2012,12498,-11.191643572798977
37.0,2013,10976,-12.177948471755482
37.0,2014,10036,-8.564139941690962
37.0,2015,7835,-21.931048226385013
37.0,2016,6413,-18.149329929802168
37.0,2017,5778,-9.901762045844379
37.0,2018,4841,-16.216683973693318
37.0,2019,3940,-18.61185705432762
37.0,2020,2625,-33.37563451776649
37.0,2021,2792,6.3619047619047615
37.0,2022,3879,38.932664756447
37.0,2023,2531,-34.75122454240784
38.0,2006,6284,
38.0,2007,6237,-0.7479312539783577
38.0,2008,6117,-1.9240019240019242
38.0,2009,5588,-8.648030080104627
38.0,2010,5725,2.4516821760916248
38.0,2011,5276,-7.842794759825328
38.0,2012,5365,1.6868840030326004
38.0,2013,5181,-3.4296365330848086
38.0,2014,5311,2.5091681142636557
38.0,2015,4805,-9.527395970627001
38.0,2016,5418,12.757544224765867
38.0,2017,5929,9.431524547803617
38.0,2018,5198,-12.329229212346096
38.0,2019,4713,-9.330511735282801
38.0,2020,2910,-38.25588796944621
38.0,2021,3095,6.357388316151202
38.0,2022,3556,14.894991922455572
38.0,2023,2207,-37.93588301462317
39.0,2006,3439,
39.0,2007,2936,-14.626344867694097
39.0,2008,2592,-11.716621253405995
39.0,2009,2850,9.953703703703704
39.0,2010,3024,6.105263157894736
39.0,2011,2920,-3.439153439153439
39.0,2012,2866,-1.8493150684931507
39.0,2013,2757,-3.8032100488485696
39.0,2014,2791,1.2332245194051505
39.0,2015,2553,-8.52740953063418
39.0,2016,2564,0.4308656482569526
39.0,2017,2537,-1.0530421216848673
39.0,2018,2207,-13.0074891604257
39.0,2019,1730,-21.613049388309925
39.0,2020,1045,-39.59537572254335
39.0,2021,1072,2.583732057416268
39.0,2022,1649,53.82462686567165
39.0,2023,1109,-32.747119466343236
40.0,2006,6965,
40.0,2007,7565,8.614501076812635
40.0,2008,6968,-7.891606080634501
40.0,2009,7582,8.811710677382319
40.0,2010,7939,4.708520179372197
40.0,2011,7252,-8.65348280639879
40.0,2012,6336,-12.630998345284059
40.0,2013,6596,4.103535353535354
40.0,2014,6771,2.653123104912068
40.0,2015,5657,-16.452518091862352
40.0,2016,4956,-12.391727063814743
40.0,2017,4985,0.5851493139628733
40.0,2018,4553,-8.665997993981946
40.0,2019,3495,-23.237425873050736
40.0,2020,2336,-33.16165951359085
40.0,2021,2622,12.243150684931507
40.0,2022,3009,14.759725400457665
40.0,2023,1735,-42.33964772349618
41.0,2006,10240,
41.0,2007,11817,15.400390624999998
41.0,2008,11444,-3.156469493103156
41.0,2009,13342,16.58511010136316
41.0,2010,13768,3.192924599010643
41.0,2011,14787,7.401220220801859
41.0,2012,14382,-2.7388922702373706
41.0,2013,12981,-9.741343345848978
41.0,2014,12248,-5.646714428780526
41.0,2015,10255,-16.27204441541476
41.0,2016,9232,-9.975621647976597
41.0,2017,7524,-18.500866551126517
41.0,2018,6862,-8.798511430090377
41.0,2019,5577,-18.726318857475952
41.0,2020,3605,-35.35951228258921
41.0,2021,3738,3.6893203883495143
41.0,2022,4724,26.37774210807919
41.0,2023,2976,-37.00254022015241
42.0,2006,10981,
42.0,2007,11756,7.057645023221928
42.0,2008,11362,-3.3514800952705004
42.0,2009,13197,16.15032564689315
42.0,2010,12922,-2.0838069258164733
42.0,2011,13756,6.45410927101068
42.0,2012,13888,0.959581273626054
42.0,2013,13399,-3.5210253456221197
42.0,2014,13303,-0.7164713784610792
42.0,2015,11851,-10.914831241073442
42.0,2016,10295,-13.129693696734455
42.0,2017,8255,-19.815444390480817
42.0,2018,7078,-14.2580254391278
42.0,2019,6381,-9.847414523876802
