State_Senate_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
18.0,2008,1,4383,8.302446256486286
18.0,2008,2,4055,-7.483458818161077
18.0,2008,3,3709,-8.532675709001234
18.0,2009,0,4298,15.880291183607442
18.0,2009,1,4239,-1.3727315030246627
18.0,2009,2,4141,-2.311866006133522
18.0,2009,3,3691,-10.866940352571843
18.0,2010,0,4195,13.654836087781089
18.0,2010,1,4313,2.8128724672228844
18.0,2010,2,3882,-9.993044284720613
18.0,2010,3,4151,6.9294178258629575
18.0,2011,0,4876,17.465670922669236
18.0,2011,1,4742,-2.7481542247744053
18.0,2011,2,4235,-10.691691269506537
18.0,2011,3,3844,-9.23258559622196
18.0,2012,0,4555,18.496357960457857
18.0,2012,1,4597,0.9220636663007684
18.0,2012,2,3951,-14.052643028061778
18.0,2012,3,3113,-21.20982029865857
18.0,2013,0,4020,29.135881786058466
18.0,2013,1,4068,1.1940298507462688
18.0,2013,2,3875,-4.744346116027532
18.0,2013,3,3315,-14.451612903225808
18.0,2014,0,3688,11.25188536953243
18.0,2014,1,3857,4.582429501084598
18.0,2014,2,3301,-14.415348716619134
18.0,2014,3,2627,-20.418055134807634
18.0,2015,0,2540,-3.311762466692044
18.0,2015,1,3100,22.04724409448819
18.0,2015,2,2984,-3.741935483870968
18.0,2015,3,2563,-14.108579088471851
18.0,2016,0,2776,8.310573546625049
18.0,2016,1,2660,-4.178674351585014
18.0,2016,2,2257,-15.150375939849624
18.0,2016,3,2234,-1.01905183872397
18.0,2017,0,2366,5.908683974932856
18.0,2017,1,2396,1.267962806424345
18.0,2017,2,2188,-8.681135225375627
18.0,2017,3,2081,-4.890310786106033
18.0,2018,0,2063,-0.8649687650168189
18.0,2018,1,1839,-10.857973824527388
18.0,2018,2,1811,-1.5225666122892878
18.0,2018,3,1604,-11.430149088901159
18.0,2019,0,1766,10.099750623441397
18.0,2019,1,1681,-4.813137032842582
18.0,2019,2,1670,-0.6543723973825104
18.0,2019,3,1444,-13.532934131736527
18.0,2020,0,1350,-6.509695290858726
18.0,2020,1,839,-37.851851851851855
18.0,2020,2,852,1.5494636471990464
18.0,2020,3,1089,27.816901408450708
18.0,2021,0,1243,14.14141414141414
18.0,2021,1,1038,-16.492357200321802
18.0,2021,2,1275,22.832369942196532
18.0,2021,3,1183,-7.215686274509804
18.0,2022,0,1251,5.748098055790363
18.0,2022,1,1461,16.786570743405278
18.0,2022,2,1421,-2.737850787132101
18.0,2022,3,1427,0.422237860661506
18.0,2023,0,1659,16.257883672039245
18.0,2023,1,1740,4.882459312839059
19.0,2006,0,3869,
19.0,2006,1,4184,8.141638666322047
