Police_Precinct,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
48.0,2022,3092,25.080906148867317
48.0,2023,1930,-37.58085381630013
49.0,2006,2647,
49.0,2007,3025,14.280317340385343
49.0,2008,3129,3.43801652892562
49.0,2009,3122,-0.22371364653243847
49.0,2010,3410,9.224855861627162
49.0,2011,3301,-3.1964809384164226
49.0,2012,3743,13.38988185398364
49.0,2013,4055,8.335559711461395
49.0,2014,3918,-3.3785450061652282
49.0,2015,3390,-13.476263399693721
49.0,2016,3622,6.843657817109144
49.0,2017,3576,-1.2700165654334623
49.0,2018,3258,-8.89261744966443
49.0,2019,2697,-17.21915285451197
49.0,2020,1697,-37.07823507601038
49.0,2021,1598,-5.833824395992929
49.0,2022,2261,41.48936170212766
49.0,2023,1272,-43.74170720919947
50.0,2006,2245,
50.0,2007,3008,33.98663697104677
50.0,2008,3130,4.055851063829787
50.0,2009,4771,52.42811501597444
50.0,2010,7735,62.125340599455036
50.0,2011,7111,-8.067226890756302
50.0,2012,4464,-37.22401912529884
50.0,2013,2659,-40.43458781362007
50.0,2014,2727,2.557352388115833
50.0,2015,2456,-9.937660432709938
50.0,2016,2489,1.3436482084690555
50.0,2017,2051,-17.597428686219367
50.0,2018,1648,-19.648951730862994
50.0,2019,1983,20.32766990291262
50.0,2020,1300,-34.44276348966213
50.0,2021,1541,18.53846153846154
50.0,2022,1586,2.9201817001946786
50.0,2023,783,-50.63051702395964
52.0,2006,8553,
52.0,2007,10170,18.90564714135391
52.0,2008,9681,-4.808259587020649
52.0,2009,9841,1.652721826257618
52.0,2010,11383,15.669139315110254
52.0,2011,10462,-8.091012913994554
52.0,2012,9424,-9.921621104951251
52.0,2013,9124,-3.183361629881155
52.0,2014,9184,0.657606313020605
52.0,2015,7139,-22.26698606271777
52.0,2016,6217,-12.914974086006442
52.0,2017,6783,9.104069486890785
52.0,2018,5919,-12.737726669615215
52.0,2019,4822,-18.533536070282143
52.0,2020,3227,-33.07756117793447
52.0,2021,3191,-1.1155872327238923
52.0,2022,4880,52.9301159511125
52.0,2023,2452,-49.75409836065573
60.0,2006,4574,
60.0,2007,4961,8.460865763008307
60.0,2008,4800,-3.2453134448699856
60.0,2009,5177,7.854166666666666
60.0,2010,5037,-2.7042688815916556
60.0,2011,4490,-10.859638673813778
60.0,2012,4085,-9.020044543429844
60.0,2013,4329,5.973072215422277
60.0,2014,4563,5.405405405405405
60.0,2015,4899,7.363576594345825
60.0,2016,4471,-8.736476832006531
60.0,2017,4093,-8.454484455379111
60.0,2018,3818,-6.718788174932812
60.0,2019,3176,-16.81508643268727
60.0,2020,2199,-30.761964735516372
60.0,2021,2320,5.5025011368804
60.0,2022,2538,9.39655172413793
60.0,2023,1646,-35.1457840819543
61.0,2006,3221,
61.0,2007,3423,6.271344303011488
61.0,2008,3243,-5.258545135845749
61.0,2009,3372,3.9777983348751156
61.0,2010,3075,-8.807829181494661
61.0,2011,3124,1.5934959349593496
61.0,2012,3299,5.60179257362356
61.0,2013,3286,-0.39405880569869656
61.0,2014,3326,1.2172854534388313
61.0,2015,2817,-15.303668069753456
61.0,2016,2663,-5.466808661696841
61.0,2017,2598,-2.44085617724371
61.0,2018,2246,-13.548883756735949
61.0,2019,2016,-10.240427426536064
61.0,2020,1390,-31.051587301587304
61.0,2021,1467,5.53956834532374
61.0,2022,1550,5.657805044308112
61.0,2023,990,-36.12903225806451
62.0,2006,2598,
62.0,2007,2819,8.506543494996151
62.0,2008,2909,3.192621496984746
62.0,2009,2824,-2.9219663114472327
62.0,2010,2480,-12.181303116147308
62.0,2011,2466,-0.564516129032258
62.0,2012,2444,-0.8921330089213302
62.0,2013,2391,-2.1685761047463172
62.0,2014,2954,23.54663320786282
62.0,2015,2781,-5.856465809072444
62.0,2016,2551,-8.270406328658755
62.0,2017,2401,-5.880047040376323
62.0,2018,1651,-31.236984589754268
62.0,2019,1789,8.358570563294974
62.0,2020,1148,-35.83007266629402
62.0,2021,1488,29.61672473867596
62.0,2022,1728,16.129032258064516
62.0,2023,1015,-41.261574074074076
63.0,2006,2196,
63.0,2007,2633,19.899817850637522
63.0,2008,2412,-8.393467527535131
63.0,2009,2341,-2.943615257048093
63.0,2010,2323,-0.7689021785561726
63.0,2011,2544,9.51356005165734
63.0,2012,2516,-1.10062893081761
63.0,2013,2365,-6.001589825119237
63.0,2014,2333,-1.3530655391120507
63.0,2015,2218,-4.929275610801543
63.0,2016,2310,4.147880973850315
63.0,2017,2039,-11.731601731601732
63.0,2018,2045,0.2942618930848455
63.0,2019,1778,-13.056234718826406
63.0,2020,1365,-23.228346456692915
63.0,2021,1478,8.278388278388277
63.0,2022,1863,26.04871447902571
63.0,2023,1093,-41.33118625872249
66.0,2006,1971,
66.0,2007,1971,0.0
66.0,2008,1778,-9.791983764586504
66.0,2009,1723,-3.093363329583802
66.0,2010,1780,3.3081834010446896
66.0,2011,1616,-9.213483146067416
66.0,2012,1665,3.032178217821782
