Zipcode,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
10023.0,2015,1285,-17.31016731016731
10023.0,2016,1257,-2.178988326848249
10023.0,2017,1220,-2.94351630867144
10023.0,2018,977,-19.918032786885245
10023.0,2019,894,-8.49539406345957
10023.0,2020,430,-51.90156599552572
10023.0,2021,487,13.25581395348837
10023.0,2022,615,26.283367556468175
10023.0,2023,410,-33.33333333333333
10024.0,2006,1426,
10024.0,2007,1481,3.8569424964936885
10024.0,2008,1452,-1.9581363943281564
10024.0,2009,1537,5.853994490358127
10024.0,2010,1268,-17.501626545217956
10024.0,2011,1133,-10.646687697160884
10024.0,2012,1203,6.17828773168579
10024.0,2013,1213,0.8312551953449709
10024.0,2014,1335,10.057708161582852
10024.0,2015,1101,-17.528089887640448
10024.0,2016,1037,-5.812897366030881
10024.0,2017,1096,5.689488910318226
10024.0,2018,1033,-5.748175182481752
10024.0,2019,849,-17.81219748305905
10024.0,2020,592,-30.270906949352177
10024.0,2021,701,18.41216216216216
10024.0,2022,728,3.851640513552068
10024.0,2023,316,-56.59340659340659
10025.0,2006,2779,
10025.0,2007,3375,21.446563512054695
10025.0,2008,3173,-5.985185185185185
10025.0,2009,3146,-0.8509297195083518
10025.0,2010,2965,-5.753337571519389
10025.0,2011,2704,-8.802698145025294
10025.0,2012,2883,6.619822485207101
10025.0,2013,2745,-4.786680541103017
10025.0,2014,2539,-7.504553734061931
10025.0,2015,2565,1.0240252067743205
10025.0,2016,2198,-14.307992202729045
10025.0,2017,2068,-5.914467697907188
10025.0,2018,1690,-18.27852998065764
10025.0,2019,1351,-20.059171597633135
10025.0,2020,1149,-14.951887490747595
10025.0,2021,1438,25.15230635335074
10025.0,2022,1654,15.02086230876217
10025.0,2023,1007,-39.11729141475212
10026.0,2006,3957,
10026.0,2007,3575,-9.653778114733385
10026.0,2008,3373,-5.65034965034965
10026.0,2009,3649,8.182626741772904
10026.0,2010,3335,-8.605097286927926
10026.0,2011,3407,2.158920539730135
10026.0,2012,3461,1.5849721162312886
10026.0,2013,3440,-0.6067610517191563
10026.0,2014,2798,-18.66279069767442
10026.0,2015,2208,-21.086490350250177
10026.0,2016,2356,6.702898550724639
10026.0,2017,1817,-22.877758913412563
10026.0,2018,1092,-39.900935608145296
10026.0,2019,1019,-6.684981684981685
10026.0,2020,701,-31.207065750736017
10026.0,2021,786,12.125534950071327
10026.0,2022,904,15.012722646310433
10026.0,2023,437,-51.65929203539823
10027.0,2006,5767,
10027.0,2007,6364,10.352002774406104
10027.0,2008,7049,10.763670647391578
10027.0,2009,8222,16.640658249397077
10027.0,2010,7445,-9.45025541230844
10027.0,2011,7149,-3.975822699798522
10027.0,2012,7259,1.5386767380053155
10027.0,2013,7123,-1.873536299765808
10027.0,2014,6552,-8.016285273059104
10027.0,2015,5328,-18.681318681318682
10027.0,2016,4927,-7.526276276276277
10027.0,2017,3953,-19.76862187943982
10027.0,2018,3425,-13.356944093093853
10027.0,2019,3173,-7.357664233576642
10027.0,2020,2029,-36.054207374724236
10027.0,2021,2472,21.833415475603747
10027.0,2022,2851,15.331715210355986
10027.0,2023,1461,-48.75482286916871
10028.0,2006,685,
10028.0,2007,572,-16.4963503649635
10028.0,2008,523,-8.566433566433567
10028.0,2009,581,11.089866156787762
10028.0,2010,699,20.309810671256454
10028.0,2011,756,8.15450643776824
10028.0,2012,827,9.39153439153439
10028.0,2013,639,-22.732769044740024
10028.0,2014,543,-15.023474178403756
10028.0,2015,615,13.259668508287293
10028.0,2016,664,7.967479674796748
10028.0,2017,542,-18.373493975903614
10028.0,2018,419,-22.693726937269375
10028.0,2019,415,-0.9546539379474941
10028.0,2020,231,-44.33734939759036
10028.0,2021,226,-2.1645021645021645
10028.0,2022,372,64.60176991150442
10028.0,2023,267,-28.225806451612907
10029.0,2006,6337,
10029.0,2007,6254,-1.3097680290358213
10029.0,2008,6076,-2.8461784457946915
10029.0,2009,6454,6.221198156682028
10029.0,2010,6329,-1.9367833901456462
10029.0,2011,6348,0.30020540369726656
10029.0,2012,5848,-7.876496534341524
10029.0,2013,5919,1.2140902872777017
10029.0,2014,5669,-4.223686433519176
10029.0,2015,5277,-6.914799788322455
10029.0,2016,4950,-6.196702671972712
10029.0,2017,4317,-12.787878787878787
10029.0,2018,3435,-20.430854760250174
10029.0,2019,2877,-16.24454148471616
10029.0,2020,1965,-31.69968717413973
10029.0,2021,1898,-3.409669211195929
10029.0,2022,2321,22.286617492096944
10029.0,2023,1418,-38.90564411891426
10030.0,2006,2857,
10030.0,2007,2890,1.1550577528876445
10030.0,2008,3389,17.26643598615917
10030.0,2009,3156,-6.875184420182945
10030.0,2010,3067,-2.8200253485424587
10030.0,2011,3317,8.15128790348875
10030.0,2012,2779,-16.219475429605065
10030.0,2013,2876,3.490464195753868
10030.0,2014,2684,-6.675938803894297
10030.0,2015,2615,-2.570789865871833
10030.0,2016,2454,-6.15678776290631
10030.0,2017,1881,-23.34963325183374
