State_Senate_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
31.0,2014,16459,-0.6399034108059161
31.0,2015,13243,-19.539461692690928
31.0,2016,12506,-5.5652042588537345
31.0,2017,11836,-5.357428434351511
31.0,2018,9505,-19.69415343021291
31.0,2019,8038,-15.433982114676487
31.0,2020,5334,-33.640209007215724
31.0,2021,6014,12.74840644919385
31.0,2022,6809,13.21915530428999
31.0,2023,4247,-37.62667058305184
32.0,2006,23392,
32.0,2007,28159,20.37876196990424
32.0,2008,27464,-2.46812741929756
32.0,2009,29101,5.960530148558112
32.0,2010,29903,2.755919040582798
32.0,2011,29618,-0.9530816306056249
32.0,2012,26826,-9.426699979742049
32.0,2013,25832,-3.705360471184672
32.0,2014,25145,-2.65949210281821
32.0,2015,22027,-12.40007953867568
32.0,2016,20490,-6.977799972760702
32.0,2017,17848,-12.894094680331868
32.0,2018,15567,-12.780143433437921
32.0,2019,13650,-12.314511466563886
32.0,2020,9475,-30.586080586080588
32.0,2021,9967,5.192612137203166
32.0,2022,12297,23.377144577104445
32.0,2023,7635,-37.91168577701878
33.0,2006,15328,
33.0,2007,17560,14.561586638830898
33.0,2008,17970,2.334851936218679
33.0,2009,19718,9.727323316638843
33.0,2010,23299,18.161071102545897
33.0,2011,21531,-7.588308511094896
33.0,2012,17825,-17.212391435604477
33.0,2013,15208,-14.681626928471248
33.0,2014,14937,-1.781956864807996
33.0,2015,12174,-18.497690299256877
33.0,2016,11246,-7.62280269426647
33.0,2017,10867,-3.370087142094967
33.0,2018,9951,-8.429189288672127
33.0,2019,7928,-20.32961511405889
33.0,2020,5227,-34.069122098890006
33.0,2021,5271,0.8417830495504113
33.0,2022,7497,42.23107569721115
33.0,2023,4372,-41.683340002667734
34.0,2006,11352,
34.0,2007,11957,5.329457364341085
34.0,2008,12382,3.5544032784143176
34.0,2009,12434,0.4199644645453077
34.0,2010,12033,-3.2250281486247387
34.0,2011,12992,7.969749854566609
34.0,2012,11526,-11.283866995073891
34.0,2013,10126,-12.146451500954363
34.0,2014,10350,2.212127197313846
34.0,2015,8496,-17.91304347826087
34.0,2016,8558,0.7297551789077212
34.0,2017,8337,-2.5823790605281607
34.0,2018,7472,-10.37543480868418
34.0,2019,6317,-15.457708779443255
34.0,2020,4708,-25.470951400981477
34.0,2021,5007,6.350892098555649
34.0,2022,6371,27.241861394048332
34.0,2023,4045,-36.509182231988696
36.0,2006,7281,
36.0,2007,8643,18.706221672847136
36.0,2008,9242,6.9304639592734
36.0,2009,9485,2.6293010170958664
36.0,2010,9463,-0.2319451765946231
36.0,2011,8779,-7.228151748916833
36.0,2012,8440,-3.8614876409613847
36.0,2013,8905,5.509478672985782
36.0,2014,8666,-2.6838854576080853
36.0,2015,7919,-8.619893837987537
36.0,2016,7345,-7.248389948225786
36.0,2017,7200,-1.9741320626276377
36.0,2018,6624,-8.0
36.0,2019,5735,-13.420893719806765
36.0,2020,3732,-34.92589363557105
36.0,2021,4081,9.35155412647374
36.0,2022,4434,8.649840725312423
36.0,2023,2689,-39.35498421290032
47.0,2006,17115,
47.0,2007,17269,0.899795501022495
47.0,2008,17008,-1.511378771208524
47.0,2009,17271,1.5463311382878646
47.0,2010,16190,-6.259046957327312
47.0,2011,15298,-5.509573810994441
47.0,2012,15335,0.24186168126552493
47.0,2013,17476,13.961525921095532
47.0,2014,17643,0.9555962462806135
47.0,2015,16040,-9.085756390636512
47.0,2016,14324,-10.698254364089776
47.0,2017,13159,-8.13320301591734
