Neighborhood,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
JFK Airport,2018,0,0.0
JFK Airport,2019,0,0.0
JFK Airport,2020,0,0.0
JFK Airport,2021,0,0.0
JFK Airport,2022,0,0.0
JFK Airport,2023,0,0.0
Jamaica,2006,14113,
Jamaica,2007,15135,7.241550343654786
Jamaica,2008,15357,1.466798810703667
Jamaica,2009,16862,9.800091163638731
Jamaica,2010,15897,-5.7229272921361645
Jamaica,2011,15648,-1.5663332704283828
Jamaica,2012,17050,8.959611451942742
Jamaica,2013,19165,12.404692082111438
Jamaica,2014,19799,3.3081137490216537
Jamaica,2015,16816,-15.066417495833123
Jamaica,2016,13889,-17.406041864890582
Jamaica,2017,12033,-13.363093095255238
Jamaica,2018,10908,-9.349289454001495
Jamaica,2019,10599,-2.832783278327833
Jamaica,2020,6943,-34.49382017171431
Jamaica,2021,6981,0.547313841278986
Jamaica,2022,8697,24.581005586592177
Jamaica,2023,5816,-33.12636541336093
Kingsbridge - Riverdale,2006,2024,
Kingsbridge - Riverdale,2007,2809,38.78458498023715
Kingsbridge - Riverdale,2008,3017,7.404770380918476
Kingsbridge - Riverdale,2009,4780,58.43553198541598
Kingsbridge - Riverdale,2010,7535,57.63598326359832
Kingsbridge - Riverdale,2011,6921,-8.148639681486397
Kingsbridge - Riverdale,2012,4220,-39.026152290131485
Kingsbridge - Riverdale,2013,2665,-36.84834123222749
Kingsbridge - Riverdale,2014,2883,8.180112570356473
Kingsbridge - Riverdale,2015,2610,-9.469302809573362
Kingsbridge - Riverdale,2016,2408,-7.7394636015325675
Kingsbridge - Riverdale,2017,1826,-24.169435215946844
Kingsbridge - Riverdale,2018,1705,-6.626506024096386
Kingsbridge - Riverdale,2019,1798,5.454545454545454
Kingsbridge - Riverdale,2020,1139,-36.65183537263626
Kingsbridge - Riverdale,2021,1448,27.12906057945566
Kingsbridge - Riverdale,2022,2099,44.9585635359116
Kingsbridge - Riverdale,2023,1072,-48.928060981419726
Laguardia Airport,2006,0,
Laguardia Airport,2007,0,0.0
Laguardia Airport,2008,0,0.0
Laguardia Airport,2009,0,0.0
Laguardia Airport,2010,0,0.0
Laguardia Airport,2011,0,0.0
Laguardia Airport,2012,0,0.0
Laguardia Airport,2013,0,0.0
Laguardia Airport,2014,0,0.0
Laguardia Airport,2015,0,0.0
Laguardia Airport,2016,0,0.0
Laguardia Airport,2017,0,0.0
Laguardia Airport,2018,0,0.0
Laguardia Airport,2019,0,0.0
Laguardia Airport,2020,0,0.0
Laguardia Airport,2021,0,0.0
Laguardia Airport,2022,0,0.0
Laguardia Airport,2023,0,0.0
Long Island City - Astoria,2006,8021,
Long Island City - Astoria,2007,8783,9.500062336367037
Long Island City - Astoria,2008,7606,-13.400888079243995
Long Island City - Astoria,2009,7349,-3.3789113857480935
Long Island City - Astoria,2010,6952,-5.402095523200436
Long Island City - Astoria,2011,6775,-2.546029919447641
Long Island City - Astoria,2012,6237,-7.940959409594097
Long Island City - Astoria,2013,7166,14.89498156164823
Long Island City - Astoria,2014,7043,-1.7164387384873012
Long Island City - Astoria,2015,6334,-10.066732926309811
Long Island City - Astoria,2016,6672,5.336280391537733
Long Island City - Astoria,2017,6362,-4.646282973621103
Long Island City - Astoria,2018,5305,-16.61427224143351
Long Island City - Astoria,2019,4611,-13.081998114985863
Long Island City - Astoria,2020,2677,-41.943179353719366
Long Island City - Astoria,2021,3974,48.449757190885315
Long Island City - Astoria,2022,4562,14.796175138399597
Long Island City - Astoria,2023,2393,-47.544936431389736
Lower Manhattan,2006,2415,
Lower Manhattan,2007,2552,5.67287784679089
Lower Manhattan,2008,2539,-0.5094043887147335
Lower Manhattan,2009,2654,4.529342260732571
Lower Manhattan,2010,2761,4.031650339110776
Lower Manhattan,2011,3916,41.832669322709165
Lower Manhattan,2012,3473,-11.312563840653727
Lower Manhattan,2013,2837,-18.312697955657935
Lower Manhattan,2014,2644,-6.8029608741628484
Lower Manhattan,2015,2507,-5.181543116490166
Lower Manhattan,2016,2604,3.8691663342640603
Lower Manhattan,2017,2295,-11.866359447004609
Lower Manhattan,2018,1948,-15.119825708061002
Lower Manhattan,2019,1842,-5.441478439425051
Lower Manhattan,2020,1082,-41.25950054288817
Lower Manhattan,2021,1023,-5.452865064695009
Lower Manhattan,2022,1196,16.911045943304007
Lower Manhattan,2023,737,-38.37792642140469
Northeast Bronx,2006,5911,
Northeast Bronx,2007,6688,13.144983928269326
Northeast Bronx,2008,7128,6.578947368421052
Northeast Bronx,2009,6918,-2.9461279461279464
Northeast Bronx,2010,6942,0.3469210754553339
Northeast Bronx,2011,6413,-7.620282339383463
Northeast Bronx,2012,6416,0.04677997816934352
Northeast Bronx,2013,6544,1.99501246882793
Northeast Bronx,2014,6816,4.156479217603912
Northeast Bronx,2015,6410,-5.956572769953052
Northeast Bronx,2016,5727,-10.655226209048362
Northeast Bronx,2017,5658,-1.2048192771084338
Northeast Bronx,2018,4923,-12.990455991516436
Northeast Bronx,2019,4607,-6.4188502945358525
Northeast Bronx,2020,2700,-41.39353158237465
Northeast Bronx,2021,3179,17.74074074074074
Northeast Bronx,2022,3714,16.829191569676
Northeast Bronx,2023,2153,-42.03015616585891
Pelham - Throgs Neck,2006,13716,
Pelham - Throgs Neck,2007,15345,11.876640419947506
Pelham - Throgs Neck,2008,14038,-8.51743238840013
Pelham - Throgs Neck,2009,14753,5.093318136486679
Pelham - Throgs Neck,2010,15073,2.1690503626381075
Pelham - Throgs Neck,2011,15883,5.373847276587275
Pelham - Throgs Neck,2012,13951,-12.163948876156898
Pelham - Throgs Neck,2013,12424,-10.945451938929109
Pelham - Throgs Neck,2014,12421,-0.024146812620734065
Pelham - Throgs Neck,2015,10106,-18.63779083809677
Pelham - Throgs Neck,2016,10335,2.265980605580843
Pelham - Throgs Neck,2017,10102,-2.2544750846637642
Pelham - Throgs Neck,2018,8976,-11.14630766184914
Pelham - Throgs Neck,2019,7645,-14.82843137254902
Pelham - Throgs Neck,2020,6228,-18.53499018966645
Pelham - Throgs Neck,2021,5709,-8.333333333333332
Pelham - Throgs Neck,2022,7432,30.1804168856192
Pelham - Throgs Neck,2023,4551,-38.76480086114101
Port Richmond,2006,2639,
Port Richmond,2007,2751,4.244031830238726
Port Richmond,2008,3378,22.791712104689203
Port Richmond,2009,3217,-4.766133806986383
Port Richmond,2010,3104,-3.5125893689773076
Port Richmond,2011,3294,6.121134020618556
Port Richmond,2012,2935,-10.89860352155434
Port Richmond,2013,3155,7.495741056218058
Port Richmond,2014,3995,26.62440570522979
Port Richmond,2015,3261,-18.3729662077597
Port Richmond,2016,3242,-0.5826433609322293
Port Richmond,2017,2871,-11.443553362122147
Port Richmond,2018,2543,-11.424590734935562
Port Richmond,2019,2302,-9.476995674400314
Port Richmond,2020,1912,-16.941789748045178
Port Richmond,2021,2003,4.7594142259414225
Port Richmond,2022,2119,5.791313030454318
Port Richmond,2023,1088,-48.65502595563945
