Police_Precinct,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
10.0,2017,1,700,7.6923076923076925
10.0,2017,2,763,9.0
10.0,2017,3,697,-8.650065530799477
10.0,2018,0,678,-2.72596843615495
10.0,2018,1,585,-13.716814159292035
10.0,2018,2,548,-6.3247863247863245
10.0,2018,3,544,-0.7299270072992701
10.0,2019,0,555,2.0220588235294117
10.0,2019,1,527,-5.045045045045045
10.0,2019,2,608,15.370018975332068
10.0,2019,3,483,-20.559210526315788
10.0,2020,0,486,0.6211180124223602
10.0,2020,1,256,-47.325102880658434
10.0,2020,2,253,-1.171875
10.0,2020,3,360,42.29249011857708
10.0,2021,0,364,1.1111111111111112
10.0,2021,1,337,-7.417582417582418
10.0,2021,2,459,36.20178041543027
10.0,2021,3,450,-1.9607843137254901
10.0,2022,0,328,-27.111111111111114
10.0,2022,1,481,46.646341463414636
10.0,2022,2,461,-4.158004158004158
10.0,2022,3,365,-20.824295010845987
10.0,2023,0,433,18.63013698630137
10.0,2023,1,422,-2.5404157043879905
13.0,2006,0,971,
13.0,2006,1,1094,12.667353244078269
13.0,2006,2,1122,2.5594149908592323
13.0,2006,3,1031,-8.110516934046345
13.0,2007,0,1199,16.29485935984481
13.0,2007,1,1204,0.4170141784820684
13.0,2007,2,1249,3.737541528239203
13.0,2007,3,1075,-13.931144915932748
13.0,2008,0,1173,9.11627906976744
13.0,2008,1,1136,-3.154305200341006
13.0,2008,2,1198,5.457746478873239
13.0,2008,3,1212,1.1686143572621035
13.0,2009,0,1358,12.046204620462046
13.0,2009,1,1328,-2.2091310751104567
13.0,2009,2,1257,-5.346385542168674
13.0,2009,3,1144,-8.989657915672236
13.0,2010,0,1383,20.89160839160839
13.0,2010,1,1443,4.3383947939262475
13.0,2010,2,1434,-0.6237006237006237
13.0,2010,3,1329,-7.322175732217573
13.0,2011,0,1518,14.221218961625281
13.0,2011,1,1839,21.14624505928854
13.0,2011,2,1521,-17.29200652528548
13.0,2011,3,1610,5.851413543721236
13.0,2012,0,1596,-0.8695652173913043
13.0,2012,1,1605,0.5639097744360901
13.0,2012,2,1555,-3.115264797507788
13.0,2012,3,1363,-12.347266881028938
13.0,2013,0,1492,9.46441672780631
13.0,2013,1,1716,15.013404825737265
13.0,2013,2,1449,-15.55944055944056
13.0,2013,3,1634,12.76742581090407
13.0,2014,0,1689,3.3659730722154224
13.0,2014,1,1748,3.4931912374185905
13.0,2014,2,1487,-14.931350114416475
13.0,2014,3,1248,-16.072629455279085
13.0,2015,0,1398,12.01923076923077
13.0,2015,1,1672,19.599427753934194
13.0,2015,2,1785,6.758373205741627
13.0,2015,3,1611,-9.747899159663866
13.0,2016,0,1427,-11.421477343265053
13.0,2016,1,1162,-18.570427470217236
13.0,2016,2,1056,-9.122203098106713
13.0,2016,3,1124,6.4393939393939394
13.0,2017,0,1047,-6.850533807829182
13.0,2017,1,1199,14.51766953199618
13.0,2017,2,1027,-14.345287739783153
13.0,2017,3,974,-5.160662122687439
13.0,2018,0,921,-5.441478439425051
13.0,2018,1,842,-8.577633007600435
13.0,2018,2,849,0.831353919239905
13.0,2018,3,700,-17.550058892815077
13.0,2019,0,795,13.571428571428571
13.0,2019,1,763,-4.0251572327044025
13.0,2019,2,649,-14.941022280471822
13.0,2019,3,561,-13.559322033898304
13.0,2020,0,579,3.2085561497326207
13.0,2020,1,382,-34.024179620034545
13.0,2020,2,368,-3.664921465968586
13.0,2020,3,447,21.467391304347828
13.0,2021,0,416,-6.935123042505594
13.0,2021,1,461,10.817307692307693
