Community_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
109.0,2018,3,780,-8.878504672897195
109.0,2019,0,782,0.2564102564102564
109.0,2019,1,881,12.65984654731458
109.0,2019,2,793,-9.988649262202042
109.0,2019,3,706,-10.970996216897856
109.0,2020,0,691,-2.1246458923512748
109.0,2020,1,454,-34.29811866859624
109.0,2020,2,419,-7.709251101321586
109.0,2020,3,502,19.809069212410503
109.0,2021,0,626,24.701195219123505
109.0,2021,1,525,-16.134185303514375
109.0,2021,2,640,21.904761904761905
109.0,2021,3,731,14.21875
109.0,2022,0,766,4.7879616963064295
109.0,2022,1,753,-1.6971279373368149
109.0,2022,2,674,-10.49136786188579
109.0,2022,3,639,-5.192878338278932
109.0,2023,0,689,7.82472613458529
109.0,2023,1,658,-4.499274310595065
110.0,2006,0,3155,
110.0,2006,1,3034,-3.8351822503961963
110.0,2006,2,3049,0.4943968358602505
110.0,2006,3,3118,2.2630370613315844
110.0,2007,0,3473,11.385503527902502
110.0,2007,1,3259,-6.161819752375468
110.0,2007,2,3051,-6.382325866830316
110.0,2007,3,2826,-7.374631268436578
110.0,2008,0,3559,25.937721160651094
110.0,2008,1,3475,-2.360213543130093
110.0,2008,2,3150,-9.352517985611511
110.0,2008,3,3457,9.746031746031745
110.0,2009,0,3631,5.033265837431299
110.0,2009,1,3787,4.296337097218397
110.0,2009,2,3518,-7.103247953525218
110.0,2009,3,3549,0.8811824900511654
110.0,2010,0,3520,-0.8171315863623556
110.0,2010,1,3490,-0.8522727272727272
110.0,2010,2,3286,-5.845272206303725
110.0,2010,3,3024,-7.973219720024345
110.0,2011,0,3285,8.630952380952381
110.0,2011,1,3402,3.5616438356164384
110.0,2011,2,3185,-6.378600823045268
110.0,2011,3,3149,-1.130298273155416
110.0,2012,0,3684,16.989520482692917
110.0,2012,1,3184,-13.572204125950055
110.0,2012,2,3135,-1.5389447236180904
110.0,2012,3,2263,-27.814992025518343
110.0,2013,0,3067,35.528060097216084
110.0,2013,1,3070,0.097815454841865
110.0,2013,2,2917,-4.9837133550488595
110.0,2013,3,2663,-8.707576276996914
110.0,2014,0,2766,3.8678182500938787
110.0,2014,1,2987,7.989877078814173
110.0,2014,2,2918,-2.3100100435219284
110.0,2014,3,2273,-22.104180945853326
110.0,2015,0,2304,1.3638363396392434
110.0,2015,1,2555,10.894097222222223
110.0,2015,2,2366,-7.397260273972603
110.0,2015,3,2191,-7.396449704142012
110.0,2016,0,2516,14.833409402099498
110.0,2016,1,2603,3.457869634340222
110.0,2016,2,2374,-8.797541298501729
110.0,2016,3,2181,-8.129738837405224
110.0,2017,0,2020,-7.3819348922512615
110.0,2017,1,1854,-8.217821782178218
110.0,2017,2,1785,-3.7216828478964405
110.0,2017,3,1641,-8.067226890756302
110.0,2018,0,1698,3.473491773308958
110.0,2018,1,1411,-16.90223792697291
110.0,2018,2,1297,-8.079376328844791
