Community_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
206.0,2023,1977,-37.94726930320151
207.0,2006,8608,
207.0,2007,10203,18.529275092936803
207.0,2008,9709,-4.8417132216014895
207.0,2009,9859,1.5449582861262745
207.0,2010,11349,15.113094634344254
207.0,2011,10541,-7.119570006167944
207.0,2012,9534,-9.553173323214116
207.0,2013,9190,-3.6081392909586745
207.0,2014,9141,-0.5331882480957563
207.0,2015,7088,-22.459249535061808
207.0,2016,6133,-13.473476297968398
207.0,2017,6685,9.000489157019404
207.0,2018,5818,-12.969334330590875
207.0,2019,4693,-19.336541766930214
207.0,2020,3137,-33.15576390368634
207.0,2021,3175,1.2113484220592923
207.0,2022,4816,51.68503937007875
207.0,2023,2702,-43.895348837209305
208.0,2006,2126,
208.0,2007,2931,37.86453433678269
208.0,2008,3032,3.445922893210508
208.0,2009,4631,52.73746701846965
208.0,2010,7610,64.3273591017059
208.0,2011,6958,-8.567674113009199
208.0,2012,4340,-37.62575452716298
208.0,2013,2555,-41.12903225806452
208.0,2014,2608,2.0743639921722115
208.0,2015,2341,-10.237730061349694
208.0,2016,2364,0.9824861170439982
208.0,2017,1963,-16.962774957698816
208.0,2018,1588,-19.10341314314824
208.0,2019,1882,18.513853904282115
208.0,2020,1252,-33.4750265674814
208.0,2021,1481,18.29073482428115
208.0,2022,1546,4.388926401080351
208.0,2023,762,-50.71151358344114
209.0,2006,10599,
209.0,2007,11912,12.38796112840834
209.0,2008,10914,-8.378106111484218
209.0,2009,10958,0.4031519149715961
209.0,2010,10995,0.33765285636064973
209.0,2011,11941,8.603910868576625
209.0,2012,10093,-15.476090779666695
209.0,2013,8008,-20.65788170018825
209.0,2014,8094,1.073926073926074
209.0,2015,6387,-21.089696071163825
209.0,2016,6015,-5.824330671676844
209.0,2017,5953,-1.030756442227764
209.0,2018,4805,-19.28439442298001
209.0,2019,3983,-17.107180020811654
209.0,2020,3141,-21.139844338438362
209.0,2021,3384,7.736389684813753
209.0,2022,4569,35.0177304964539
209.0,2023,2762,-39.54913547822281
210.0,2006,2983,
210.0,2007,2966,-0.5698960777740529
210.0,2008,3233,9.002022926500338
210.0,2009,3395,5.01082585833591
210.0,2010,3359,-1.0603829160530192
210.0,2011,3518,4.733551652277463
210.0,2012,3323,-5.542922114837976
210.0,2013,2941,-11.495636473066506
